TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550,2
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550,3
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550,4
2012,Spain,Hydro,Net maximum electrical capacity,Megawatt,18550,5
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,0
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,1
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,2
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,3
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,4
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,5
2012,Spain,Wind,Net maximum electrical capacity,Megawatt,22789,6
2012,Spain,Solar,Net maximum electrical capacity,Megawatt,6569,0
2012,Spain,Solar,Net maximum electrical capacity,Megawatt,6569,1
2012,Spain,Solid Biofuels,Net maximum electrical capacity,Megawatt,635.86,0
2012,France,Hydro,Net maximum electrical capacity,Megawatt,25656.72,0
