Continent,Year,Source,Value
Oceania,1990,Fossil,40988.016
Oceania,1990,Nuclear,0
Oceania,1990,Renewables,4610.4355
Oceania,1991,Fossil,40053.48
Oceania,1991,Nuclear,0
Oceania,1991,Renewables,4609.996
Oceania,1992,Fossil,40235.277
Oceania,1992,Nuclear,0
Oceania,1992,Renewables,4366.8438
Oceania,1993,Fossil,40329.03
Oceania,1993,Nuclear,0
Oceania,1993,Renewables,4620.3594
Oceania,1994,Fossil,41367.504
Oceania,1994,Nuclear,0
Oceania,1994,Renewables,4761.1514
Oceania,1995,Fossil,42550.715
Oceania,1995,Nuclear,0
Oceania,1995,Renewables,4817.629
Oceania,1996,Fossil,43217.168
Oceania,1996,Nuclear,0
Oceania,1996,Renewables,4644.27
Oceania,1997,Fossil,43793.746
Oceania,1997,Nuclear,0
Oceania,1997,Renewables,4295.6367
Oceania,1998,Fossil,43876.11
Oceania,1998,Nuclear,0
Oceania,1998,Renewables,4453.101
Oceania,1999,Fossil,45100.977
Oceania,1999,Nuclear,0
Oceania,1999,Renewables,4235.806
Oceania,2000,Fossil,44813.87
Oceania,2000,Nuclear,0
